,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
11524,Facebook,France,Western Europe,Western Europe,40-49,44.5,Male,Developer; Programmer; Sr. Developer; Expert; Full-stack Developer; Hacker,Full-stack web developer,Full-stack web developer,11+ years,13.0,"$50,000 - $60,000",55000.0,4.41,JavaScript; Perl; PHP; SQL,AngularJS; CoffeeScript; JavaScript; Node.js; ReactJS; SQL,No,9.0,Employed full-time,Internet,20-99 employees,5-9 people,0,I rarely work remotely,I'm somewhat dissatisfied with my job,I knew I wanted to work here. I sought out the opportunity directly,Vim,Multiple times a day,5-10 hours per week,Other (please specify),Debian,Yes,2 - 100,Once a month,I want to be a better developer,"I'm self-taught; On-the-job training; Part-time program (e.g. night school); Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field); B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field)",I am actively looking for a new job,Salary; Tech stack; Opportunity for advancement; Quality of colleagues; Company culture; Company reputation; Remote working option,Finding an open job that I'm qualified for,80%,,,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Disagree somewhat,Disagree completely,Agree somewhat,Neutral,Agree somewhat,Agree somewhat,I don't care about this,This is somewhat important,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,I don't care about this,Poor documentation; Unspecific requirements; Limited resources,To get help for my job; To receive help on my personal projects; I don't really use Stack Overflow. I just take surveys.
11875,Facebook,France,Western Europe,Western Europe,25-29,27.0,Male,Engineer; Programmer; Hacker,,,,,,,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11883,Facebook,France,Western Europe,Western Europe,20-24,22.0,Male,Developer; Engineer; Programmer; Manager; Ninja; Expert,Full-stack web developer,Full-stack web developer,1 - 2 years,1.5,"$20,000 - $30,000",25000.0,4.41,Android; AngularJS; C#; Dart; Java; JavaScript; Node.js; PHP; SharePoint; SQL; SQL Server; Windows Phone; WordPress,Android; AngularJS; C#; JavaScript; SharePoint,No,7.0,Employed full-time,Software Products,100-499 employees,1-4 people,1,I rarely work remotely,I'm somewhat satisfied with my job,Other,Notepad++; Sublime; Android Studio; Eclipse; PhpStorm; Visual Studio; Visual Studio Code; Xamarin; Xcode,Multiple times a day,10-20 hours per week,Dogs,Windows 10,Yes,2 - 100,Once a day,To keep my skills up to date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11954,Facebook,France,Western Europe,Western Europe,35-39,37.0,Male,Engineer; Ninja; Expert; Full-stack Developer,,,,,,,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12263,Facebook,France,Western Europe,Western Europe,25-29,27.0,Male,Ninja; Full-stack Developer; Full Stack Overflow Developer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"$10,000 - $20,000",15000.0,4.41,PHP,Swift,Yes,6.0,Employed part-time,Internet,10-19 employees,5-9 people,2,Part-time remote,I love my job,A friend referred me,PhpStorm,Multiple times a day,20+ hours per week,Cats,Mac OS X,No,101 - 500,Once a day,I want to be a better developer,I'm self-taught,"I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Company culture; Building something that's significant; Building something that's innovative,Interesting companies rarely respond to me,,Show me more live code; Introduce me to the boss; Introduce me to the team,Star Wars; Star Trek,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,I don't care about this,This is very important,I don't care about this,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,I don't care about this,Poor team dynamics,To get help for my job; To give help to others; To communicate with others like me
12456,Facebook,France,Western Europe,Western Europe,25-29,27.0,Female,Developer,,,,,,,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12636,Facebook,France,Western Europe,Western Europe,20-24,22.0,Male,Developer,Student,Student,Less than 1 year,0.5,"Less than $10,000",5000.0,4.41,C++; C#,C#; Java; Windows Phone,No,4.0,Self-employed,Web Services,1-4 employees,1-4 people,0,Full-time remote,I love my job,Self-employed - I created my own job,Eclipse; Visual Studio; Visual Studio Code,Once a day,10-20 hours per week,Other (please specify),Windows 10,Yes,2 - 100,Once a day,I'm curious,I'm self-taught; Some college coursework in Computer Science (or related field); B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Work/life balance; Opportunity for advancement; Quality of colleagues; Building something that's innovative,The interview process,20%,Show me more live code; Introduce me to the team,Star Wars,Agree completely,Agree somewhat,Agree completely,Agree somewhat,Agree completely,Disagree completely,Neutral,Agree completely,Disagree completely,Disagree somewhat,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,Fragile code base; Unrealistic expectations; Non-technical management,To get help for my job; Beacause I love to learn
12939,Facebook,France,Western Europe,Western Europe,20-24,22.0,Male,Developer; Programmer; Guru; Full Stack Overflow Developer,Back-end web developer,Back-end web developer,2 - 5 years,3.5,Unemployed,,4.41,Android; Java; JavaScript; Node.js; PHP; SQL,Android; AngularJS; JavaScript; MongoDB; Node.js; PHP,Other (please specify),6.0,I'm a student,,,,,,,,Sublime; Android Studio; Eclipse; PhpStorm; Visual Studio Code,Once a day,10-20 hours per week,Cats,Windows 10,No,I don't have an account,Multiple times a day,I'm curious,I'm self-taught; On-the-job training; Some college coursework in Computer Science (or related field); B.A. in Computer Science (or related field); B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Tech stack; Work/life balance; Job title; Office location; Building something that's significant; Building something that's innovative,Writing my CV and keeping it updated,0%,Show me more live code; Introduce me to the team; Prepare me for who I will be speaking with,Star Wars,Neutral,Neutral,Agree somewhat,Agree somewhat,Agree completely,Disagree completely,Neutral,Neutral,Disagree completely,Disagree completely,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,Poor team dynamics; Poor documentation; Outdated technologies,To get help for my job; Because I can't do my job without it; To receive help on my personal projects
12983,Facebook,France,Western Europe,Western Europe,30-34,32.0,Male,Developer,Embedded application developer,Embedded application developer,6 - 10 years,8.0,"$40,000 - $50,000",45000.0,4.41,C; C++; C#,"Android; Arduino / Raspberry Pi; C; C++; C#; Cloud (AWS, GAE, Azure, etc.); Go",No,8.0,Employed full-time,Other (please specify),"10,000+ employees",20+ people,0,I rarely work remotely,I hate my job,A friend referred me,Notepad++; Visual Studio; Visual Studio Code,A couple times a week,2-5 hours per week,Dogs,Windows 7,Yes,I don't have an account,Very rarely,I'm curious,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Industry certification program; B.S. in Computer Science (or related field)",I am actively looking for a new job,Salary; Ability to make or influence important decisions; Health insurance; Industry; Work/life balance; Opportunity for advancement; Quality of colleagues; Company culture; Company reputation; Building something that's significant; Building something that's innovative,Searching for a job that seems interesting,50%,Show me more live code,,Agree completely,Agree completely,Agree completely,Disagree completely,Disagree completely,Agree completely,Agree somewhat,Agree completely,Agree completely,Disagree completely,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,I don't care about this,I don't care about this,Poor team dynamics; Fragile code base; Non-technical management,Beacause I love to learn
14302,Facebook,France,Western Europe,Western Europe,30-34,32.0,Male,Engineer; Manager; Ninja; Guru,Product manager,Product manager,11+ years,13.0,"$90,000 - $100,000",95000.0,4.41,Cassandra; JavaScript; MongoDB; Node.js; Redis; SQL,Arduino / Raspberry Pi; JavaScript; MongoDB; Node.js; Redis; SQL; Swift,Yes,9.0,Prefer not to disclose,Consulting,1-4 employees,1-4 people,2,Part-time remote,I'm somewhat satisfied with my job,Self-employed - I created my own job,Atom; Sublime,Multiple times a day,2-5 hours per week,Cats,Mac OS X,Yes,I'm not sure,Once a day,To build a specific product I have in mind,I'm self-taught; Masters Degree in Computer Science (or related field),I am not interested in new job opportunities,Salary; Ability to make or influence important decisions; Work/life balance,The interview process,0%,Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars,Agree completely,Neutral,Agree completely,Agree somewhat,Disagree completely,Disagree completely,Agree completely,Neutral,Disagree completely,Agree completely,This is somewhat important,This is very important,This is very important,This is somewhat important,This is very important,I don't care about this,This is very important,This is somewhat important,I don't care about this,This is very important,Unrealistic expectations; Outdated technologies; Interacting with stupid people,To receive help on my personal projects
14356,Facebook,France,Western Europe,Western Europe,25-29,27.0,Female,Ninja; Guru,Designer,Designer,Less than 1 year,0.5,"Less than $10,000",5000.0,4.41,Android; iOS,Android; C; C++; iOS; Java; JavaScript,No,1.0,Unemployed,,,,,,,,,I never check-in or commit code,None,Cats,Windows 7,I don't know,I don't have an account,I have never been on Stack Overflow. I just love taking surveys.,I'm curious,I'm self-taught,"I'm not actively looking, but I am open to new opportunities",Salary; Health insurance; Opportunity for advancement; Quality of colleagues; Company culture; Company reputation; Flexible work hours; Building something that's innovative,Searching for a job that seems interesting,70%,Show me more live code; Be more flexible about interview scheduling; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Neutral,Neutral,Agree somewhat,Agree somewhat,Disagree completely,Disagree somewhat,Neutral,Disagree completely,Neutral,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,Inefficient development processes; Fragile code base; Poor documentation; Non-technical management; Interacting with stupid people; Poor infrastructure or equipment; Limited resources,To discover new job opportunities; Beacause I love to learn; I don't really use Stack Overflow. I just take surveys.
14630,Facebook,France,Western Europe,Western Europe,35-39,37.0,Male,Developer; Ninja,Front-end web developer,Front-end web developer,6 - 10 years,8.0,"$40,000 - $50,000",45000.0,4.41,AngularJS; Node.js; PHP; WordPress,Arduino / Raspberry Pi; AngularJS,Yes,8.0,Freelance / Contractor,Web Services,1-4 employees,1-4 people,0,Full-time remote,I'm somewhat satisfied with my job,Self-employed - I created my own job,Sublime; Visual Studio; Visual Studio Code,Multiple times a day,2-5 hours per week,Dogs,Mac OS X,Other (please specify),I'm not sure,Multiple times a day,To keep my skills up to date,I'm self-taught; On-the-job training,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14765,Facebook,France,Western Europe,Western Europe,30-34,32.0,Male,Developer; Engineer,Back-end web developer,Back-end web developer,1 - 2 years,1.5,"$40,000 - $50,000",45000.0,4.41,C; JavaScript; PHP; SQL,Go; PHP,Other (please specify),8.0,Employed full-time,Other (please specify),100-499 employees,5-9 people,4,I rarely work remotely,I love my job,Stack Overflow,Emacs; Notepad++; TextMate; Vim; Android Studio; NetBeans; PhpStorm; Xcode,Multiple times a day,20+ hours per week,Dogs,Mac OS X,Yes,"10,001+",Once a day,I'm curious,"On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.)",I am not interested in new job opportunities,Salary; Opportunity for advancement; Quality of colleagues; Company culture; Building something that's significant; Building something that's innovative,The interview process,50%,Show me more live code; Offer remote interviews (e.g. via video conference); Introduce me to the team,,Agree completely,Agree completely,Agree completely,Agree somewhat,Neutral,Agree completely,Agree somewhat,Agree completely,Agree somewhat,Disagree completely,This is somewhat important,I don't care about this,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,I don't care about this,I don't care about this,Changing requirements,To give help to others; Because I can't do my job without it; whyso_onlinepresence; To demonstrate that I'm good at what I do; Beacause I love to learn
15019,Facebook,France,Western Europe,Western Europe,40-49,44.5,Female,Developer,,,,,,,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15209,Facebook,France,Western Europe,Western Europe,20-24,22.0,Male,Developer; Programmer,Student,Student,Less than 1 year,0.5,Unemployed,,4.41,C; JavaScript; Node.js; Perl,C; JavaScript; Node.js; PHP; SQL,Other (please specify),7.0,I'm a student,,,,,,,,Emacs; Notepad++; Vim,Other (please specify),20+ hours per week,Dogs,Ubuntu,Other (please specify),I don't have an account,Once a week,I want to be a better developer,"Full-time, intensive program (e.g. ""boot-camp"")","I'm not actively looking, but I am open to new opportunities",Quality of colleagues; Company culture; Building something that's innovative,Writing cover letters,20%,Introduce me to the team; Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Disagree completely,Neutral,Neutral,Disagree completely,Neutral,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,I don't care about this,I don't care about this,Fragile code base; Unrealistic expectations; Poor infrastructure or equipment,To get help for my job; To give help to others; To receive help on my personal projects; Beacause I love to learn
15819,Facebook,France,Western Europe,Western Europe,20-24,22.0,Male,Developer; Programmer; Rockstar; Ninja; Full-stack Developer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"$50,000 - $60,000",55000.0,4.41,AngularJS; iOS; JavaScript; LAMP; MongoDB; PHP; ReactJS; Swift,PHP,Yes,8.0,Employed full-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16158,Facebook,France,Western Europe,Western Europe,20-24,22.0,Male,Engineer; Manager; Rockstar; Full-stack Developer,"Executive (VP of Eng., CTO, CIO, etc.)","Executive (VP of Eng., CTO, CIO, etc.)",2 - 5 years,3.5,"$50,000 - $60,000",55000.0,4.41,JavaScript; Python; SQL,JavaScript; Node.js; Python; ReactJS; SQL,No,8.0,Employed full-time,Media / Advertising,10-19 employees,5-9 people,1,Part-time remote,I love my job,Self-employed - I created my own job,Sublime; TextMate; Vim; PyCharm,Multiple times a day,1-2 hours per week,Dogs,Mac OS X,Yes,2 - 100,Multiple times a day,I'm curious,I'm self-taught; Masters Degree in Computer Science (or related field),I am not interested in new job opportunities,,Other (please specify),50%,,Star Trek,Agree completely,Agree completely,Agree completely,Neutral,Agree completely,Agree somewhat,Agree somewhat,Agree somewhat,Neutral,Disagree completely,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is very important,I don't care about this,This is very important,This is somewhat important,I don't care about this,Poor team dynamics; Inefficient development processes,To get help for my job; Because I can't do my job without it
16163,Facebook,France,Western Europe,Western Europe,< 20,16.0,Female,Programmer,Student,Student,1 - 2 years,1.5,"Less than $10,000",5000.0,4.41,Java; Python,Haskell; Python,No,5.0,I'm a student,,,,,,,,Vim; IntelliJ; PyCharm; RStudio,"I don't ""check-in or commit code"", but I do put code into production somewhat frequently",1-2 hours per week,Cats,Other Linux,Yes,I don't have an account,Multiple times a day,I'm curious,"Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Ability to make or influence important decisions; Flexible work hours,Writing cover letters,30%,Show me more live code; Introduce me to the team; Fewer brainteasers,,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Agree completely,Neutral,Disagree completely,This is somewhat important,This is very important,I don't care about this,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,I don't care about this,Poor team dynamics; Inefficient development processes; Unspecific requirements,To get help for my job; Because I can't do my job without it; Beacause I love to learn
16868,Facebook,France,Western Europe,Western Europe,25-29,27.0,Male,Developer; Programmer,Desktop developer,Desktop developer,1 - 2 years,1.5,"$30,000 - $40,000",35000.0,4.41,C; C++; C#,Android; C#; Java; SQL,No,6.0,Employed full-time,Consulting,"10,000+ employees",15-20 people,4,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,Notepad++; Visual Studio,Multiple times a day,None,Dogs,Windows 7,I don't know,I don't have an account,Once a day,To keep my skills up to date,On-the-job training; Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Opportunity for advancement; Company culture,Writing cover letters,20%,Offer remote interviews (e.g. via video conference); Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree completely,Agree somewhat,Agree completely,Agree completely,Disagree completely,Neutral,Disagree somewhat,Agree completely,Disagree completely,This is somewhat important,This is very important,I don't care about this,This is very important,This is very important,This is very important,This is very important,I don't care about this,I don't care about this,This is somewhat important,Fragile code base; Poor scheduling; Interacting with stupid people,To get help for my job
16963,Facebook,France,Western Europe,Western Europe,25-29,27.0,Male,Developer; Engineer; Programmer; Full-stack Developer,,,,,,,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17001,Facebook,France,Western Europe,Western Europe,20-24,22.0,Male,Programmer; Hacker,System administrator,System administrator,1 - 2 years,1.5,,,4.41,C++; Java; JavaScript; PHP; Python; Ruby; SQL,C++; JavaScript; PHP; Python,Yes,6.0,Other (please specify),I'm a student,"10,000+ employees",5-9 people,0,Never,I'm somewhat satisfied with my job,Contacted by external recruiter,Emacs; Vim; NetBeans; PyCharm,"I don't ""check-in or commit code"", but I do put code into production somewhat frequently",2-5 hours per week,Cats,Other Linux,Yes,I don't have an account,Multiple times a day,I'm curious,I'm self-taught; Part-time program (e.g. night school),,,,,,,,,,,,,,,,,,,,,,,,,,,,
17062,Facebook,France,Western Europe,Western Europe,40-49,44.5,Male,Developer,Front-end web developer,Front-end web developer,11+ years,13.0,"$40,000 - $50,000",45000.0,4.41,AngularJS; JavaScript,AngularJS; JavaScript; Node.js; ReactJS,Yes,7.0,Unemployed,,,,,,,,Sublime,Multiple times a day,1-2 hours per week,Dogs,Mac OS X,Yes,I don't have an account,Once a day,I want to be a better developer,I'm self-taught; On-the-job training,I am actively looking for a new job,Building something that's significant,Writing cover letters,10%,Offer remote interviews (e.g. via video conference); Show me the space in which I will work,Star Wars,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Neutral,Disagree completely,Disagree somewhat,Disagree somewhat,Neutral,Disagree completely,This is somewhat important,This is very important,I don't care about this,This is very important,This is somewhat important,I don't care about this,This is somewhat important,I don't care about this,I don't care about this,I don't care about this,Fragile code base; Outdated technologies; Unspecific requirements,To get help for my job; Beacause I love to learn
17116,Facebook,France,Western Europe,Western Europe,35-39,37.0,Male,Sr. Developer; Expert; Full-stack Developer,Full-stack web developer,Full-stack web developer,11+ years,13.0,"$30,000 - $40,000",35000.0,4.41,Arduino / Raspberry Pi; C; JavaScript; PHP; SQL,Android,No,9.0,Employed full-time,Media / Advertising,10-19 employees,1-4 people,"I am not on a ""team""",Never,I love my job,I knew I wanted to work here. I sought out the opportunity directly,Sublime; NetBeans,A couple times a week,2-5 hours per week,Dogs,Mac OS X,Other (please specify),I'm not sure,Once a week,I'm curious,I'm self-taught,"I'm not actively looking, but I am open to new opportunities",Salary; Office location; Building something that's innovative,Writing cover letters,50%,Be more flexible about interview scheduling; Introduce me to the team,Star Wars,Agree completely,Agree completely,Agree completely,Neutral,Agree completely,Disagree completely,Agree completely,Agree somewhat,Disagree completely,Neutral,This is very important,This is somewhat important,I don't care about this,This is very important,This is very important,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,Poor scheduling; Interacting with non-technical people; Interacting with stupid people,To get help for my job; To receive help on my personal projects; Beacause I love to learn
17780,Facebook,France,Western Europe,Western Europe,40-49,44.5,Male,Sr. Developer,Full-stack web developer,Full-stack web developer,11+ years,13.0,"$10,000 - $20,000",15000.0,4.41,Arduino / Raspberry Pi; JavaScript; Perl; SQL,Android; Hadoop; Haskell,Yes,7.0,Employed full-time,Education,"10,000+ employees",15-20 people,2,Never,I'm somewhat dissatisfied with my job,I knew I wanted to work here. I sought out the opportunity directly,Vim,Multiple times a day,5-10 hours per week,Cats,Debian,Yes,I don't have an account,Very rarely,I'm curious,I'm self-taught,"I'm not actively looking, but I am open to new opportunities",Health insurance; Tech stack; Work/life balance; Quality of colleagues; Company culture; Remote working option; Flexible work hours,Other (please specify),,,Star Trek,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Disagree completely,Disagree completely,Agree completely,Agree completely,Neutral,This is somewhat important,This is very important,I don't care about this,This is very important,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is very important,I don't care about this,Poor team dynamics; Inefficient development processes; Non-technical management,I don't really use Stack Overflow. I just take surveys.
18058,Facebook,France,Western Europe,Western Europe,30-34,32.0,Male,Programmer; Expert,Analyst,Analyst,6 - 10 years,8.0,"$30,000 - $40,000",35000.0,4.41,C; C++; C#,C++; C#; F#; Haskell,No,10.0,Employed part-time,Healthcare,500-999 employees,1-4 people,0,I rarely work remotely,I'm somewhat dissatisfied with my job,A friend referred me,Vim; Eclipse; Visual Studio,"I don't ""check-in or commit code"", but I do put code into production somewhat frequently",2-5 hours per week,Cats,Windows 8,No,I don't have an account,Once a month,I'm curious,On-the-job training; Some college coursework in Computer Science (or related field); B.A. in Computer Science (or related field); B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field); PhD in Computer Science (or related field),I am actively looking for a new job,Salary; Opportunity for advancement; Building something that's significant; Building something that's innovative,Other (please specify),10%,Show me more live code; Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Prepare me for who I will be speaking with,Star Trek,Agree somewhat,Agree somewhat,Neutral,Agree somewhat,Neutral,Agree somewhat,Neutral,Agree completely,Agree completely,Disagree somewhat,This is somewhat important,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,Inefficient development processes; Corporate policies; Interacting with stupid people,To get help for my job; Beacause I love to learn
18236,Facebook,France,Western Europe,Western Europe,30-34,32.0,Male,Developer; Engineer; Programmer; Sr. Developer; Manager; Guru; Expert; Hacker,Back-end web developer,Back-end web developer,6 - 10 years,8.0,"$50,000 - $60,000",55000.0,4.41,AngularJS; Java; JavaScript; MongoDB; Redis; SQL,Go; Scala; Spark,No,8.0,Employed full-time,Automotive,100-499 employees,5-9 people,1,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,Vim; IntelliJ,Multiple times a day,2-5 hours per week,Cats,Other Linux,Yes,I'm not sure,Multiple times a day,I'm curious,On-the-job training,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18500,Facebook,France,Western Europe,Western Europe,25-29,27.0,Male,Engineer; Full-stack Developer,,,,,,,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18812,Facebook,France,Western Europe,Western Europe,20-24,22.0,Male,Hacker,,,,,,,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18940,Facebook,France,Western Europe,Western Europe,20-24,22.0,Male,Developer; Engineer; Programmer; Full-stack Developer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,Rather not say,,4.41,JavaScript; MongoDB; Node.js,AngularJS; JavaScript; MongoDB; Node.js; ReactJS,No,8.0,Employed part-time,Web Services,1-4 employees,1-4 people,1,Full-time remote,I'm somewhat satisfied with my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Sublime,Once a day,1-2 hours per week,Dogs,Mac OS X,Yes,"1,001 - 5,000",Multiple times a day,I want to be a better developer,I'm self-taught; B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Tech stack; Building something that's significant; Remote working option,The interview process,70%,Fewer brainteasers,,Agree completely,Agree somewhat,Agree somewhat,Agree somewhat,Agree completely,Disagree completely,Agree somewhat,Agree somewhat,Agree somewhat,Disagree completely,This is very important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,I don't care about this,Fragile code base; Outdated technologies; Changing requirements,To get help for my job; To demonstrate that I'm good at what I do
19025,Facebook,France,Western Europe,Western Europe,< 20,16.0,Male,Full-stack Developer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"Less than $10,000",5000.0,4.41,Android; AngularJS; Cordova; iOS; Java; JavaScript; PHP; SQL; Swift; WordPress,Node.js; Ruby; Scala,No,6.0,I'm a student,,,,,,,,Sublime; NetBeans; Xcode,Multiple times a day,2-5 hours per week,Cats,Mac OS X,Yes,I don't have an account,Multiple times a day,I want to be a better developer,Some college coursework in Computer Science (or related field),,,,,,,,,,,,,,,,,,,,,,,,,,,,
19038,Facebook,France,Western Europe,Western Europe,25-29,27.0,Male,Developer,Full-stack web developer,Full-stack web developer,1 - 2 years,1.5,"Less than $10,000",5000.0,4.41,JavaScript; PHP; Ruby; SQL,PHP; Ruby; SQL,Yes,8.0,Unemployed,,,,,,,,Sublime,Multiple times a day,20+ hours per week,Cats,Windows 8,No,2 - 100,Once a week,I want to be a better developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19202,Facebook,France,Western Europe,Western Europe,20-24,22.0,Male,Ninja,,,,,,,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20202,Facebook,France,Western Europe,Western Europe,20-24,22.0,Male,Full-stack Developer,Full-stack web developer,Full-stack web developer,6 - 10 years,8.0,"Less than $10,000",5000.0,4.41,CoffeeScript; JavaScript; PHP; SQL,PHP,Yes,8.0,Other (please specify),Retail,1-4 employees,1-4 people,0,Full-time remote,I'm somewhat satisfied with my job,Self-employed - I created my own job,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20274,Facebook,France,Western Europe,Western Europe,30-34,32.0,Male,Developer; Engineer; Programmer; Sr. Developer; Rockstar; Expert; Hacker,other,,11+ years,13.0,"$50,000 - $60,000",55000.0,4.41,Android; C; C++; JavaScript; Python; Scala; Spark; Swift,JavaScript; Python; Scala; Spark; Swift,No,10.0,Self-employed,Software Products,1-4 employees,1-4 people,0,Part-time remote,I'm somewhat satisfied with my job,Self-employed - I created my own job,Emacs; Sublime; IntelliJ,A couple times a week,5-10 hours per week,Cats,Fedora,Yes,1,Once a week,To keep my skills up to date,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.A. in Computer Science (or related field); B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field); PhD in Computer Science (or related field)",I am not interested in new job opportunities,Ability to make or influence important decisions; Tech stack; Building something that's significant,Other (please specify),80%,,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Agree completely,Disagree somewhat,Agree completely,Agree somewhat,Neutral,Disagree completely,This is somewhat important,This is very important,I don't care about this,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is very important,This is very important,I don't care about this,Non-technical management; Interacting with stupid people; Poor infrastructure or equipment,Beacause I love to learn
